_id,id,name,address_number,street,city,hours_of_operation,notes,phone_number,website,,,,,,,,,,neighborhood,council_district,ward,public_works_division,police_zone,fire_zone,
6,758154727,Appliance Warehouse,504,Pykara,madurai,"9:00 a.m. - 5:00 p.m., Monday - Saturday",,412-247-4460,,,,,,,,,,,colony,3,17,3,3,2-Apr,
19,495966559,Giant Eagle  - Brighton Rd,4104,Pykara,madurai,"6:00 a.m. - 11:00 p.m., Daily","Must be empty, clean and dry. Call to confirm availability or other restrictions.",(412) 761-2240,,,,,,,,,,,Car stand,,,,,,
26,233532862,Goodwill - East Allegheny,507,Pykara,madurai,9:00 a.m. - 5:00 p.m. Monday - Friday,Call or visit their website to learn more about currently accepted/unaccepted items.,412-322-5666,http://www.amazinggoodwill.com/donating/donor-guidelines,,,,,,,,,,IT park,1,23,1,1,6-Jan,
34,967983043,MedReturn - Medication Drop Box,1203,Pykara,madurai,Open 24-Hours / 7 Days/Week,"Not Accepted: Hydrogen Peroxide, Inhalers, Thermometers, Needles (Sharps), Ointments, Lotions, Liquids, Aerosol Cans",412-323-7800,,,,,,,,,,,Town road,6,21,1,1,8-Jan,
42,895145340,Public Works Hazelwood Drop Off,5273,Pykara,madurai,"8:00 a.m. - 2:00 p.m., Monday - Friday Call for possible Saturday hours",,412-422-6524,,,,,,,,,,,IT park,5,15,3,4,13-Feb,
17,1949088395,ELoop LLC,2000,Pykara,madurai,10:00 a.m. - 5:00 p.m. Monday - Friday,Fees may apply.,724-519-7646,http://eloopllc.com/services/accepted-items/,,,,,,,,,,colony,,,,,,
24,801060080,Giant Eagle - Squirrel Hill,1901,Pykara,madurai,"6:00 a.m. - 1:00 a.m., Daily","Must be empty, clean and dry. Call to confirm availability or other restrictions.",(412) 421-8161,,,,,,,,,,,IT park,5,14,3,4,21-Feb,
28,578223681,Goodwill - South Side,2700,sellur,madurai,9:00 a.m. - 9:00 p.m. Monday - Saturday 11:00 a.m. - 7:00 p.m. Sundays,Call or visit their website to learn more about currently accepted/unaccepted items,412-481-5390,http://www.amazinggoodwill.com/donating/donor-guidelines,,,,,,,,,,Ring road,3,16,3,3,24-Apr,
15,852485030,Construction Junction,200,sellur,madurai,"9:00 a.m. - 6:00 p.m., Monday - Friday 9:00 a.m. - 5:00 p.m., Saturdays; 10:00 a.m. to 5:00 p.m. Sundays",Call or visit their webpage to confirm the required condition of donated materials. Fees may apply.,412-243-5025,https://www.cjreuse.org/donate/what-we-accept/,,,,,,,,,,Car stand,9,14,2,4,14-Mar,
16,1876149639,Construction Junction Drop Off Partner Site,7235,sellur,madurai,"9:00 a.m. - 6:00 p.m., Monday - Friday 9:00 a.m. - 5:00 p.m., Saturdays; 10:00 a.m. to 5:00 p.m. Sundays","Does NOT Accept Yard Debris, Scrap Metal or Tires",412-243-5025,,,,,,,,,,,colony,9,14,2,4,14-Mar,
18,1373153417,Evolution E-Cycling,2235,TPK,madurai,"9:00 a.m. - 5:00 p.m., Monday - Friday",Fees May Apply,412-390-3450,http://www.evolutionecycling.com/services/electronics-recycling,,,,,,,,,,IT park,3,16,3,3,24-Apr,
20,871457761,Giant Eagle - Greenfield,4239,sellur,madurai,"6:00 a.m. - 12:00 a.m., Daily","Must be empty, clean and dry. Call to confirm availability or other restrictions.",(412) 421-6472,,,,,,,,,,,Car stand,5,15,3,4,15-Feb,
